Kanji,Kana,POS,Meaning,Example
コンピューター,コンピューター,n,computer,"コンピューターが壊れているからトムに直してもらうつもりです。
My computer is broken so I plan to have Tom fix it."
ご存じ,ごぞんじ,n,(hon) to know,"あの人はご存知ですか？
Do you know that person?"
ご覧になる,ごらんになる,"exp,vi,vt",(hon) to see; to look; to watch,"この画像をご覧になってください。
Please watch this short movie."
さっき,さっき,"n-adv,n",a little while ago; just now,"昼ご飯を食べに行かない？ごめん、さっき食べてしまった。
Do you want to go eat lunch?  Sorry, I just ate."
サラダ,サラダ,n,salad,"サラダがあるのに、ドレシングがない。
There is salad, but no dressing."
サンダル,サンダル,n,sandal,"明日海に行くから、ビーチサンダルを持った方が良い。
We will go to the beach tomorrow, so you should bring beach sandals."
サンドイッチ,サンドイッチ,n,sandwich,"彼はサンドイッチを食べている。
He is eating a sandwich."
しっかり,しっかり,"adv,adv-to,vs",firmly; securely; properly; well,"誰でも分かるようにしっかり書いてください。
Please write it well so that anyone can understand it."
しばらく,しばらく,"adv,adj-no",a moment; a little while; a while,"おかけになってしばらくお待ちください。
Please have a seat and wait for a little while."
じゃま,じゃま,"adj-na,n,vs",hindrance; obstacle; nuisance,"勉強しているからじゃましないように静かにしてください。
I am studying, so please be quiet so as not to be a nuisance."
ジャム,ジャム,n,jam,"このジャムが柔らかくて塗りやすいです。
This jam is soft so it is easy to spread."
ずいぶん,ずいぶん,"adv,adv-to",very; considerably,"駅から20分歩かないといけないことはずいぶん遠いですね。
That you need to walk 20 minutes from the station is very far."
スーツ,スーツ,n,suit,"発表じゃないからスーツを着なくてもいいと思います。
It is not a presentation, so I think you do not need to wear a suit."
スーツケース,スーツケース,n,suitcase,"旅行にいつも行っているジョンは月に1回スーツケースを使っています。
Jon, who is always going on trips, uses his suitcase once a month."
スーパー,スーパー,n,supermarket; grocery store,"材料がないからスーパーに行ってくれる？
There are no ingredients, so would you go to the supermarket?"
すごい,すごい,adj-i,amazing; terrific; terrible; vast (in numbers) | very,"あのコンサートはすごく混んでいました。
That concert was very crowded."
すっかり,すっかり,"adv,adv-to",completely; totally; entirely,"昨日忙しかったので、宿題をすっかり忘れてしまいました。
I was busy yesterday, so I completely forgot my homework."
すっと,すっと,"adv,vs",directly; all of a sudden,"両親と話したくなかったから帰ったらすっと自分の部屋に行った。
I didn't want to talk with my parents, so I went directly to my room when I got home."
ずっと,ずっと,adv,the whole time; all the way,"23歳からずっと日本に住んでいます。
I have been living in Japan the whole time since I was 23."
ステーキ,ステーキ,n,steak,"あの有名なレストランのステーキが食べてみたい。
I want to try eating the steak at that famous restaurant."
すり,すり,n,pickpocket,"財布がすりに盗まれた。
My wallet was stolen by a pickpocket."
そうです。,そうです。,exp,that's right,"
"
ソフト,ソフト,n,software,"日本語からフランス語に訳せるソフトがありますか？
Do you have software that can translate from Japanese to French?"
それで,それで,conj,and; because of that,"「昨日の朝電車が止まっていて、仕事が遅れた。」「それで、ボスが怒ったの？」
""Yesterday morning the train stopped and I was late for work.""  ""So was your boss angry because of that?"""
それに,それに,conj,besides; in addition; also,"この部屋が狭くて暗いです。それに、外が煩いから勉強しにくいです。
This room is small and dark.  In addition it is noisy outside so it is difficult to study."
それほど,それほど,adv,to that extent,"お腹が空いているんですが、それほどではないです。
I am hungry, but not to that extent."
そろそろ,そろそろ,adv,soon; any time now,"そろそろ帰ります。
I’ll go home soon."
そんな,そんな,adj-pn,such; like that,"そんな悲しいことを言わないでください。
Don't say things that sad."
そんなに,そんなに,exp,so much; like that,"パリにそんなに美味しいラーメンがありました？
Was there ramen that delicious in Paris?"
タイプ,タイプ,"n,vs",type; kind; style,"山本さんはそんな真面目なタイプの人ですね。
Mr. Yamamoto is that kind of serious person."
だから,だから,conj,so; therefore,"昨日テレビであの店を見た。だから今日行ってみたい。
I saw that store on TV yesterday.  So, I wanted to try and go today."
